id,conversation_id,person_id
1,1,5
2,1,6
3,2,8
4,2,7
5,3,1
6,3,2
7,4,3
8,5,11
9,6,12
10,6,13
11,7,12
12,7,13
13,8,12
14,8,13
15,9,2
16,10,3
17,11,14
18,12,15
19,13,16
20,14,17
21,15,17
22,16,17
23,17,17
24,18,1
25,18,2
26,18,18
27,19,21
28,19,22
29,20,21
30,20,22
31,21,21
32,21,22
33,22,21
34,23,21
35,24,23
36,25,24
37,26,24
38,27,27
39,27,28
40,28,24
41,28,27
42,27,29
43,29,30
44,30,30
45,31,34
46,31,35
47,32,34
48,33,34
49,34,1
50,34,30
51,35,36
52,28,37
53,36,38
54,36,1
55,37,41
56,38,24
57,38,41
58,38,42
59,38,37
60,38,1
61,39,17
62,40,43
63,41,49
64,42,50
65,42,51
66,43,52
67,43,30
68,44,52
69,44,30
70,44,53
71,44,54
72,44,55
73,45,56
74,45,57
75,46,58
76,47,60
77,48,61
78,48,62
79,49,5
80,49,1
81,49,34
82,49,35
83,49,37
84,50,64
85,50,43
86,50,63
87,51,24
88,51,1
89,52,65
90,53,23
91,53,69
92,53,70
93,53,71
94,53,72
95,54,73
96,54,76
97,55,73
98,55,76
99,55,21
100,56,79
101,57,80
102,58,41
103,59,41
104,60,20
105,61,21
106,62,1
107,62,2
108,63,59
109,64,1
110,65,86
111,66,89
112,66,91
113,66,43
114,66,87
115,67,1
116,67,5
117,67,6
118,67,7
119,67,12
120,67,13
121,67,81
122,68,92
123,68,4
124,69,93
125,70,26
126,71,94
127,72,41
128,72,5
129,72,6
130,72,95
131,73,59
132,74,96
133,75,97
134,76,34
135,77,1
136,77,2
137,78,100
138,78,101
139,79,48
140,80,1
141,81,97
142,82,26
143,82,102
144,82,103
145,82,104
146,82,105
147,83,1
148,83,2
149,84,5
150,84,6
151,85,34
152,85,35
153,86,106
154,87,96
155,88,34
156,89,107
157,90,64
158,90,2
159,90,5
160,90,6
161,90,7
162,90,8
163,90,41
164,90,12
165,90,13
166,90,24
167,90,25
168,90,63
169,90,108
170,90,110
171,91,1
172,92,1
173,92,2
174,93,15
175,94,21
176,66,111
177,95,89
178,95,43
179,95,111
180,95,112
181,96,1
182,96,2
183,97,23
184,98,77
185,99,24
186,99,113
187,99,114
188,99,115
189,99,42
190,100,104
191,100,26
192,100,102
193,101,116
194,102,1
195,102,117
196,103,116
197,104,26
198,104,4
199,104,20
200,105,5
201,106,1
202,106,34
203,106,35
204,106,5
205,106,6
206,107,107
207,108,1
208,108,2
209,109,15
210,110,1
211,110,2
212,111,104
213,112,20
214,113,6
215,114,15
216,115,41
217,115,5
218,115,6
219,116,1
220,116,2
221,116,77
222,116,78
223,117,4
224,117,119
225,118,5
226,118,6
227,119,8
228,119,7
229,120,41
230,120,5
231,120,6
232,120,120
233,121,17
234,122,104
235,122,121
236,123,41
237,123,5
238,123,6
239,124,34
240,125,34
241,126,34
242,126,35
243,127,1
244,127,2
245,128,15
246,129,1
247,129,100
248,129,5
249,129,110
250,129,24
251,129,122
252,129,123
253,130,12
254,130,13
255,131,1
256,132,24
257,132,21
258,132,22
259,133,2
260,134,30
261,135,1
262,135,2
263,135,38
264,136,98
265,136,99
266,137,1
267,137,125
268,138,43
269,138,124
270,139,5
271,140,20
272,140,127
273,141,123
274,141,126
275,142,1
276,143,1
277,143,2
278,143,5
279,143,6
280,144,1
281,144,2
282,145,1
283,145,2
284,146,15
285,147,1
286,147,2
287,148,34
288,149,1
289,150,98
290,150,99
291,151,1
292,151,2
293,152,1
294,153,21
295,154,96
296,155,1
297,156,5
298,157,66
299,157,68
300,158,128
301,159,1
302,159,18
303,159,118
304,160,1
305,160,2
306,160,18
307,160,118
308,161,1
309,162,15
310,163,104
311,163,26
312,163,3
313,163,129
314,163,130
315,163,4
316,164,1
317,164,131
